Nom de la base,Nombre d'iteration,Taille liste Tabou,Poids MAx,Total weight,Total profit,Temps d'execution,Fichier solution
pi-15-100-1000-001.kna,1000000,1,997,993,996,25.08297324180603,results/6/item_solutions/pi-15-100-1000-001.kna_1000000_1_items.csv
pi-15-100-1000-001.kna,1000000,10,997,996,1002,27.31738877296448,results/6/item_solutions/pi-15-100-1000-001.kna_1000000_10_items.csv
pi-15-100-1000-001.kna,1000000,15,997,997,1002,0.0010015964508056,results/6/item_solutions/pi-15-100-1000-001.kna_1000000_15_items.csv
pi-15-100-1000-001.kna,1000000,20,997,996,1005,30.57844567298889,results/6/item_solutions/pi-15-100-1000-001.kna_1000000_20_items.csv
pi-15-100-1000-001.kna,1000000,5,997,997,999,0.0,results/6/item_solutions/pi-15-100-1000-001.kna_1000000_5_items.csv
pi-15-100-1000-001.kna,100000,1,997,994,999,2.024815082550049,results/6/item_solutions/pi-15-100-1000-001.kna_100000_1_items.csv
pi-15-100-1000-001.kna,100000,10,997,997,1005,2.3029093742370605,results/6/item_solutions/pi-15-100-1000-001.kna_100000_10_items.csv
pi-15-100-1000-001.kna,100000,15,997,993,999,0.0011501312255859,results/6/item_solutions/pi-15-100-1000-001.kna_100000_15_items.csv
pi-15-100-1000-001.kna,100000,20,997,994,996,0.0,results/6/item_solutions/pi-15-100-1000-001.kna_100000_20_items.csv
pi-15-100-1000-001.kna,100000,5,997,993,996,2.5946192741394043,results/6/item_solutions/pi-15-100-1000-001.kna_100000_5_items.csv
pi-15-100-1000-001.kna,10000,1,997,996,999,0.2710018157958984,results/6/item_solutions/pi-15-100-1000-001.kna_10000_1_items.csv
pi-15-100-1000-001.kna,10000,10,997,996,1002,0.0,results/6/item_solutions/pi-15-100-1000-001.kna_10000_10_items.csv
pi-15-100-1000-001.kna,10000,15,997,994,999,0.0,results/6/item_solutions/pi-15-100-1000-001.kna_10000_15_items.csv
pi-15-100-1000-001.kna,10000,20,997,996,999,0.0,results/6/item_solutions/pi-15-100-1000-001.kna_10000_20_items.csv
pi-15-100-1000-001.kna,10000,5,997,997,1002,0.2401096820831298,results/6/item_solutions/pi-15-100-1000-001.kna_10000_5_items.csv
